brain_predicted_n	project_n	brain_percent	project_id
4	12	33.33	SRP045632
2	6	33.33	SRP045876
2	6	33.33	SRP050260
2	6	33.33	SRP062617
3	9	33.33	SRP063620
17	52	32.69	SRP034712
7	23	30.43	SRP056957
7	23	30.43	SRP064378
9	30	30	SRP068078
26	87	29.89	ERP008608
5	17	29.41	SRP066895
2	7	28.57	SRP012099
3	11	27.27	SRP007359
13	48	27.08	SRP047194
2	8	25	SRP002640
1	4	25	SRP013463
1	4	25	SRP014009
1	4	25	SRP018837
3	12	25	SRP026620
1	4	25	SRP029401
2	8	25	SRP033711
5	20	25	SRP041159
1	4	25	SRP044715
1	4	25	SRP049453
1	4	25	SRP049967
1	4	25	SRP056498
1	4	25	SRP057213
6	25	24	SRP029889
3	13	23.08	SRP006474
11	48	22.92	SRP028170
2	9	22.22	SRP029434
2	9	22.22	SRP033432
2	9	22.22	SRP058740
9	42	21.43	SRP027589
4	19	21.05	SRP048761
13	62	20.97	SRP002079
5	24	20.83	SRP032165
5	24	20.83	SRP040525
150	734	20.44	SRP066834
1	5	20	SRP006908
1	5	20	SRP018242
1	5	20	SRP028814
4	20	20	SRP032789
1	5	20	SRP033502
2	10	20	SRP034528
3	15	20	SRP043027
2	10	20	SRP043688
1	5	20	SRP051118
2	10	20	SRP057766
3	16	18.75	SRP023548
7	38	18.42	SRP022054
16	88	18.18	SRP014428
6	33	18.18	SRP020486
5	29	17.24	SRP067701
1	6	16.67	ERP009612
1	6	16.67	SRP008746
2	12	16.67	SRP032953
1	6	16.67	SRP037719
1	6	16.67	SRP037762
1	6	16.67	SRP045481
1	6	16.67	SRP048669
1	6	16.67	SRP049237
1	6	16.67	SRP049823
1	6	16.67	SRP060650
1	6	16.67	SRP061329
3	19	15.79	SRP049981
2	13	15.38	SRP017395
3	20	15	SRP056969
8	54	14.81	SRP049097
2	14	14.29	ERP010177
2	14	14.29	SRP000931
1	7	14.29	SRP002543
1	7	14.29	SRP022260
2	15	13.33	SRP008331
113	875	12.91	SRP042161
1	8	12.5	ERP003495
1	8	12.5	SRP006309
2	16	12.5	SRP018719
2	16	12.5	SRP028738
1	8	12.5	SRP033498
1	8	12.5	SRP034698
2	16	12.5	SRP041833
1	8	12.5	SRP048889
4	32	12.5	SRP057852
1	8	12.5	SRP067836
3	25	12	SRP051644
6	53	11.32	SRP003611
4	36	11.11	SRP005279
1	9	11.11	SRP007494
2	18	11.11	SRP028963
1	9	11.11	SRP041531
2	18	11.11	SRP057804
1	9	11.11	SRP064803
10	99	10.1	SRP019994
1	10	10	ERP000573
1	10	10	SRP013363
2	20	10	SRP031496
1	10	10	SRP040275
37	384	9.64	SRP061240
1	11	9.09	ERP008492
3	33	9.09	SRP062389
5	57	8.77	ERP005938
5	57	8.77	ERP007185
1	12	8.33	SRP001893
1	12	8.33	SRP016003
1	12	8.33	SRP019807
1	12	8.33	SRP023270
2	24	8.33	SRP041377
23	290	7.93	SRP057500
3	38	7.89	SRP002326
1	13	7.69	SRP017352
1	13	7.69	SRP057745
15	201	7.46	SRP040547
2	27	7.41	SRP002915
1	14	7.14	ERP001317
1	14	7.14	SRP003726
3	42	7.14	SRP012557
1	14	7.14	SRP049479
11	156	7.05	SRP003754
2	29	6.9	SRP016568
2	29	6.9	SRP049068
3	44	6.82	SRP041179
1	15	6.67	SRP014142
3	45	6.67	SRP036821
7	111	6.31	SRP055513
1	16	6.25	ERP003984
1	16	6.25	SRP007338
1	16	6.25	SRP048701
43	696	6.18	SRP041736
1	17	5.88	ERP002063
1	17	5.88	SRP009247
1	17	5.88	SRP019810
1	17	5.88	SRP029953
1	18	5.56	ERP012180
1	18	5.56	SRP010350
2	39	5.13	SRP011085
1	20	5	SRP052998
2	41	4.88	SRP051765
3	62	4.84	SRP018838
1	21	4.76	ERP003791
2	42	4.76	SRP009266
1	23	4.35	SRP000729
1	23	4.35	SRP000762
1	23	4.35	SRP031459
7	167	4.19	SRP001371
2	48	4.17	ERP000546
1	24	4.17	SRP028180
1	24	4.17	SRP035554
1	24	4.17	SRP044042
1	24	4.17	SRP067661
1	25	4	SRP042184
1	26	3.85	DRP001919
2	52	3.85	SRP058773
1	28	3.57	SRP044766
2	56	3.57	SRP061881
3	85	3.53	ERP006077
4	114	3.51	SRP006575
3	88	3.41	SRP058856
1	30	3.33	SRP009310
2	60	3.33	SRP047192
3	95	3.16	SRP059458
9	286	3.15	SRP040472
1	32	3.12	SRP000996
1	32	3.12	SRP064264
1	34	2.94	SRP007946
2	68	2.94	SRP033248
1	35	2.86	SRP051249
1	35	2.86	SRP052896
1	36	2.78	SRP040442
5	192	2.6	SRP059775
1	39	2.56	SRP028530
1	40	2.5	SRP000599
2	80	2.5	SRP023262
14	609	2.3	SRP067502
2	96	2.08	SRP040288
1	48	2.08	SRP042027
2	98	2.04	SRP055153
8	406	1.97	SRP049593
1	53	1.89	SRP017575
3	168	1.79	SRP042620
1	56	1.79	SRP057205
3	169	1.78	SRP052740
3	171	1.75	ERP003613
1	62	1.61	SRP050440
1	63	1.59	ERP001908
1	64	1.56	SRP026537
1	67	1.49	SRP007825
3	201	1.49	SRP059035
1	68	1.47	SRP015640
1	73	1.37	SRP062025
1	78	1.28	ERP010142
1	80	1.25	SRP018853
4	328	1.22	SRP050499
1	82	1.22	SRP064259
1	83	1.2	SRP050272
4	345	1.16	SRP000941
2	205	0.98	SRP007461
1	106	0.94	SRP036848
3	337	0.89	DRP001358
1	113	0.88	SRP030617
1	121	0.83	SRP063840
1	124	0.81	SRP011546
1	134	0.75	SRP040070
4	643	0.62	SRP055569
2	362	0.55	SRP019272
1	185	0.54	SRP033566
2	477	0.42	DRP002435
1	245	0.41	SRP006574
1	255	0.39	DRP002586
1	313	0.32	SRP041471
1	384	0.26	SRP033135
1	460	0.22	SRP050992
1	667	0.15	ERP001942
1	648	0.15	SRP060416
