RNA integrity number,rin,NA,smrin,none,none,none
NCBI Run ID,run_s,NA,run,none,NA,none
GEO Accession,sample_name_s,NA,NA,none,NA,NA
Tissue origin - (Brain/iPSC),sample_origin,"""Brain""",smts,none,none,none
Sex of donor - (Female / Male),sex,gdc_cases.demographic.gender,SEX_adjusted,none,none,"2 = female
1 = male"
NCBI SRA Sample ID,sra_sample_s,NA,sample,none,NA,none
NCBI SRA Study ID,sra_study_s,NA,project,none,NA,none
Anatomic Stie of tissue 1,tissue_site_1,NA,smtsd,none,NA,none
Anatomic Stie of tissue 2,tissue_site_2,NA,NA,none,NA,NA
Anatomic Stie of tissue 3,tissue_site_3,NA,NA,none,NA,NA
Type of tumor,tumor_type,xml_histological_type,NA,none,none,NA
Tissue viability - (postmortem / biopsy),viability,"""Biopsy""","""Postmortem""",none,none,none
Columns that are not from recount_brain,Columns that are not from recount_brain,Columns that are not from recount_brain,Columns that are not from recount_brain,Columns that are not from recount_brain,Columns that are not from recount_brain,Columns that are not from recount_brain
260 280 value,NA,gdc_cases.samples.portions.analytes.a260_a280_ratio,NA,NA,none,NA
Study,rownames_adjusted,"""TCGA""",GTEx,"sub(""\\..*"","""", rownames(recount_brain) )",none,none
drug name,NA,cgc_drug_therapy_drug_name adjusted,NA,NA,manually corrected for typos and drugs with multiple names,NA
drug_info_T,NA,xml_has_drugs_information,NA,NA,none,NA
drug_therapy_type,NA,cgc_drug_therapy_pharmaceutical_therapy_type,NA,NA,none,NA
count_identifier,run_s,rownames,run,none,none,none
