SAMPID,SMATSSCR,SMCENTER,SMPTHNTS,SMRIN,SMTS,SMTSD,SMUBRID,SMTSISCH,SMTSPAX,SMNABTCH,SMNABTCHT,SMNABTCHD,SMGEBTCH,SMGEBTCHD,SMGEBTCHT,SMAFRZE,SMGTC,SME2MPRT,SMCHMPRS,SMNTRART,SMNUMGPS,SMMAPRT,SMEXNCRT,SM550NRM,SMGNSDTC,SMUNMPRT,SM350NRM,SMRDLGTH,SMMNCPB,SME1MMRT,SMSFLGTH,SMESTLBS,SMMPPD,SMNTERRT,SMRRNANM,SMRDTTL,SMVQCFL,SMMNCV,SMTRSCPT,SMMPPDPR,SMCGLGTH,SMGAPPCT,SMUNPDRD,SMNTRNRT,SMMPUNRT,SMEXPEFF,SMMPPDUN,SME2MMRT,SME2ANTI,SMALTALG,SME2SNSE,SMMFLGTH,SME1ANTI,SMSPLTRD,SMBSMMRT,SME1SNSE,SME1PCTS,SMRRNART,SME1MPRT,SMNUM5CD,SMDPMPRT,SME2PCTS
GTEX-1117F-2426-SM-5EGGH,1,B1,1 piece mymetrial smooth muscle as in corresonding -25 block,6.3,Uterus,Uterus,995,1332,1014,BP-44460,RNA Extraction from Paxgene-derived Lysate Plate Based,10/08/2013,LCSET-4764,02/08/2014,TruSeq.v1,RNASEQ,,0.9806733,0,0.96141577,,0.9862881,0.7300617,,22519,1,,76,,0.002578296,123,0,57968428,0.0383009,220370,58774334,7752590,,22545,28724683,,,0,0.23135407,0.9862881,0.72005117,57968428,0.005577078,12490600,4921373,12628352,121,12717931,9271556,0.004069151,12699861,49.96445,0.003749426,0.9919029,,0,50.2742
GTEX-1117F-2526-SM-5GZY6,2,B1,"6  pieces, squamous epithelium is ~ 2-3% thickness, partially sloughing",6.5,Vagina,Vagina,996,1329,1017,BP-43693,RNA Extraction from Paxgene-derived Lysate Plate Based,09/17/2013,LCSET-5161,03/16/2014,TruSeq.v1,RNASEQ,,0.9791922,0,0.96852946,,0.9851198,0.7187889,,23722,1,,76,,0.003742018,163,0,84946008,0.03120282,319049,86229114,8681590,,23751,42035147,,,0,0.24974051,0.9851198,0.7080932,84946008,0.005284851,18926943,9857581,18953401,168,19151917,13134648,0.004508793,19211792,50.078037,0.003700015,0.9910475,,0,50.03492
GTEX-1117F-2826-SM-5GZXL,1,B1,"2 pieces, fibrocystic changes, rep ductal/lobular elements delineated",5.8,Breast,Breast - Mammary Tissue,8367,1340,1008,BP-43507,RNA Extraction from Paxgene-derived Lysate Plate Based,09/12/2013,LCSET-4804,03/05/2014,TruSeq.v1,RNASEQ,,0.9828581,0,0.9712971,,0.98769337,0.7810858,,22803,1,,76,,0.002538486,150,0,67977722,0.028353099,1032930,68824724,7832514,,22829,33682447,,,0,0.19021127,0.98769337,0.7714733,67977722,0.004012537,14896494,6619416,14880757,154,14958322,11475930,0.003271903,15123116,50.27391,0.015008125,0.99252874,,0,49.97357
GTEX-1117F-2926-SM-5GZYI,0,B1,"6 pieces, minimal fat, squamous epithelium is ~50 microns, ~3% thickness",7.7,Skin,Skin - Not Sun Exposed (Suprapubic),36149,1341,1006,BP-43693,RNA Extraction from Paxgene-derived Lysate Plate Based,09/17/2013,LCSET-4804,03/05/2014,TruSeq.v1,RNASEQ,,0.9814039,0,0.97810596,,0.9871584,0.77998424,,22135,1,,76,,0.002503825,153,0,65499211,0.021639649,328932,66351268,8838904,,22160,32417641,,,0,0.1981217,0.9871584,0.769968,65499211,0.004105006,14397848,6585383,14455382,149,14578550,11646185,0.003299749,14627683,50.084114,0.004957433,0.9929129,,0,50.0997
GTEX-1117F-3026-SM-5GZYU,1,B1,"2 pieces, generally good, one aliquot has ~25% adherent nubbing of adipose/muscular tissue",8.3,Salivary Gland,Minor Salivary Gland,6330,1343,1005,BP-43693,RNA Extraction from Paxgene-derived Lysate Plate Based,09/17/2013,LCSET-4804,03/05/2014,TruSeq.v1,RNASEQ,,0.9840623,0,0.9631491,,0.9877659,0.73694247,,24180,1,,76,,0.00295586,141,0,63687358,0.035507564,269843,64476166,8141278,,24207,31566977,,,0,0.2262066,0.9877659,0.7279266,63687358,0.003905088,14072496,8014793,14072229,133,14166989,10597805,0.003428695,14197513,50.053806,0.004185159,0.9914693,,0,49.999527
GTEX-1117F-3226-SM-5N9CT,1,B1,2 pieces,6.2,Brain,Brain - Cortex,1870,1418,931,BP-43956,RNA Extraction from Paxgene-derived Lysate Plate Based,09/25/2013,LCSET-4904,03/22/2014,TruSeq.v1,RNASEQ,,0.9881885,0,0.9568797,,0.9906801,0.8254213,,23024,1,,76,,0.003210504,273,0,80064199,0.042885046,5012231,80817412,3871928,,23040,39790258,,,0,0.13145839,0.9906801,0.81772846,80064199,0.003814947,17476461,10078945,17551192,264,17436047,8168722,0.003511965,17758650,50.458313,0.0620192,0.99317175,,0,50.106678
GTEX-111CU-0003-SM-58Q95,,B1,,,Blood,Whole Blood,13756,-148,,BP-38688,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),05/07/2013,LCSET-4574,01/23/2014,Standard Exome Sequencing v3 (ICE),WES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-111CU-0003-SM-5DWTR,,B1,,,Blood,Whole Blood,13756,-148,,BP-38688,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),5/7/2013,GTEx_OM25_Dec_01,01/29/2014,Illumina OMNI SNP Array,OMNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-111CU-0003-SM-6WBUD,,B1,,,Blood,Whole Blood,13756,-148,,BP-39403,Transfer To Matrix (Manual),05/28/2013,LCSET-6056,8/11/2014,Standard High Coverage Whole Genome Sequencing (30x) v2 (HiSeqX),WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-111CU-0126-SM-5GZWZ,0,B1,2 pieces,7.9,Adrenal Gland,Adrenal Gland,2369,67,642,BP-43693,RNA Extraction from Paxgene-derived Lysate Plate Based,09/17/2013,LCSET-4804,03/05/2014,TruSeq.v1,RNASEQ,,0.9881791,0,0.9751665,,0.9913913,0.825066,,22596,1,,76,,0.002181423,273,0,81190601,0.024493095,1198648,81895618,9728210,,22617,40348257,,,0,0.15010054,0.9913913,0.8179632,81190601,0.00320923,17930007,14109002,17881082,259,17879087,12762411,0.002693661,18172431,50.406837,0.01463629,0.99460346,,0,49.93169
GTEX-111CU-0226-SM-5GZXC,0,B1,"2 pieces, small amount of attached fat and skeletal muscle",7.4,Thyroid,Thyroid,2046,69,640,BP-43693,RNA Extraction from Paxgene-derived Lysate Plate Based,09/17/2013,LCSET-4804,03/05/2014,TruSeq.v1,RNASEQ,,0.98744315,0,0.97045815,,0.99081635,0.7916013,,23342,1,,76,,0.002140827,209,0,87274484,0.02923888,202819,88083408,11042242,,23373,43362841,,,0,0.1788569,0.99081635,0.7843315,87274484,0.00308954,19235002,7807456,19284552,238,19366714,16058941,0.002613568,19420333,50.069115,0.002302579,0.9941896,,0,50.06432
GTEX-111CU-0326-SM-5GZXO,0,B1,"2 pieces, numerous hemosiderin-laden macrophages, patchy bronchopneumonia, focus of cartilage",7.6,Lung,Lung,8952,70,639,BP-43693,RNA Extraction from Paxgene-derived Lysate Plate Based,09/17/2013,LCSET-4804,03/05/2014,TruSeq.v1,RNASEQ,,0.9882579,0,0.9725542,,0.9914309,0.81905544,,22640,1,,76,,0.002155241,210,0,81296018,0.027182832,370724,81998674,10302916,,22657,40407429,,,0,0.15349878,0.9914309,0.8120369,81296018,0.003226448,17924917,6400147,18037034,224,18067931,14855844,0.00268913,18134262,50.091614,0.004521098,0.994604,,0,50.155884
GTEX-111CU-0426-SM-5GZY1,0,B1,2 pieces,7.3,Spleen,Spleen,2106,71,638,BP-43693,RNA Extraction from Paxgene-derived Lysate Plate Based,09/17/2013,LCSET-4804,03/05/2014,TruSeq.v1,RNASEQ,,0.98848164,0,0.9632599,,0.9915327,0.7971571,,24641,1,,76,,0.002343432,277,0,97833900,0.035920892,410493,98669368,12183850,,24673,48604148,,,0,0.16610277,0.9915327,0.79040736,97833900,0.003191703,21347485,11237543,21352640,276,21424032,18146057,0.002766262,21549848,50.146385,0.004160288,0.99458367,,0,50.00604
GTEX-111CU-0526-SM-5EGHK,1,B1,"2 pieces, include 20 and 40% fat (attached and internal)",7.2,Pancreas,Pancreas,1150,72,637,BP-43495,RNA Extraction from Paxgene-derived Lysate Plate Based,09/12/2013,LCSET-4764,02/08/2014,TruSeq.v1,RNASEQ,,0.9809091,3,0.967128,,0.9869243,0.81571424,,20310,1,,76,,0.006616117,95,0,58103417,0.029227903,108472,58873222,9699768,,20319,28682530,,,0,0.15141375,0.9869243,0.8050482,58103417,0.009518789,13035631,15542909,13002470,100,13106749,15136415,0.008058607,13257128,50.2852,0.001842468,0.99293953,,0,49.936325
GTEX-111CU-0626-SM-5EGHL,0,B1,"6 pieces, well trimmed of mucosa",7.9,Esophagus,Esophagus - Muscularis,4648,76,633,BP-43495,RNA Extraction from Paxgene-derived Lysate Plate Based,09/12/2013,LCSET-4764,02/08/2014,TruSeq.v1,RNASEQ,,0.9845596,0,0.9723515,,0.98995787,0.83190656,,21172,1,,76,,0.00219469,185,0,69019803,0.027355425,455462,69719940,10084456,,21188,34240520,,,0,0.14044498,0.98995787,0.8235524,69019803,0.005399744,14893921,6183414,14883859,169,14959521,12195060,0.003788478,15157195,50.328182,0.006532737,0.99535626,,0,49.983105
GTEX-111CU-0726-SM-5GZYD,0,B1,"6 pieces, well trimmed of muscularis, few submucosal glands (some delineated)",8.8,Esophagus,Esophagus - Mucosa,6920,77,632,BP-43693,RNA Extraction from Paxgene-derived Lysate Plate Based,09/17/2013,LCSET-4804,03/05/2014,TruSeq.v1,RNASEQ,,0.986259,0,0.9728903,,0.9901223,0.82328707,,22835,1,,76,,0.00226703,216,0,80822444,0.026662938,290336,81628748,11375172,,22856,40147855,,,0,0.1496033,0.9901223,0.8151549,80822444,0.003095517,18012906,9449610,17968621,206,18052212,16536495,0.002679657,18223940,50.236694,0.003556786,0.99398565,,0,49.938457
GTEX-111CU-0826-SM-5EGIJ,0,B1,"6 pieces, well trimmed of mucosa",8,Esophagus,Esophagus - Gastroesophageal Junction,4550,81,628,BP-43529,RNA Extraction from Paxgene-derived Lysate Plate Based,09/13/2013,LCSET-4764,02/08/2014,TruSeq.v1,RNASEQ,,0.98240775,0,0.96926284,,0.9882022,0.8095165,,21721,1,,76,,0.002238239,142,0,63651053,0.030486189,313953,64410958,10053118,,21735,31555722,,,0,0.15974636,0.9882022,0.799966,63651053,0.005177373,13815030,5693991,13822862,147,13906641,10898226,0.003699189,14068203,50.288765,0.004874217,0.9939967,,0,50.014168
GTEX-111CU-0926-SM-5EGIK,0,B1,"6 pieces, few with small portion of muscularis",7.8,Stomach,Stomach,945,83,626,BP-43529,RNA Extraction from Paxgene-derived Lysate Plate Based,09/13/2013,LCSET-4764,02/08/2014,TruSeq.v1,RNASEQ,,0.9764924,0,0.9790476,,0.9820645,0.81606835,,20831,1,,76,,0.002035616,99,0,59284965,0.020579569,261440,60367690,9025394,,20842,29385813,,,0,0.16297926,0.9820645,0.8014318,59284965,0.005025483,13659520,64509485,13738003,106,13820785,15911237,0.003522068,13897379,50.138165,0.004330794,0.9876367,,0,50.14323
GTEX-111CU-1026-SM-5EGIL,0,B1,2 pieces,7.4,Adipose Tissue,Adipose - Visceral (Omentum),10414,84,625,BP-43529,RNA Extraction from Paxgene-derived Lysate Plate Based,09/13/2013,LCSET-4764,02/08/2014,TruSeq.v1,RNASEQ,,0.98173815,0,0.97616774,,0.98782724,0.8425295,,21534,1,,76,,0.002290125,206,0,77351377,0.023582697,1082583,78304556,12450570,,21543,38346743,,,0,0.13363826,0.98782724,0.8322736,77351377,0.005490676,17047869,9839053,16954691,239,17033732,11971047,0.003880536,17398015,50.528996,0.013825287,0.9939164,,0,49.862988
GTEX-111CU-1126-SM-5EGIM,1,B1,"6 pieces, well trimmed with only scant attached fat",6.5,Skin,Skin - Not Sun Exposed (Suprapubic),36149,86,623,BP-43529,RNA Extraction from Paxgene-derived Lysate Plate Based,09/13/2013,LCSET-4764,02/08/2014,TruSeq.v1,RNASEQ,,0.97794104,0,0.9665383,,0.98535424,0.7832862,,21902,1,,76,,0.002377662,160,0,57071016,0.033292204,460306,57919286,9624378,,21916,28250952,,,0,0.18325214,0.98535424,0.7718144,57071016,0.005951936,12454582,6146284,12468824,140,12575922,8427852,0.004151354,12738044,50.320225,0.00794737,0.99276745,,0,50.028572
GTEX-111CU-1226-SM-5EGIN,1,B1,"6 pieces, well trimmed of mucosa",7.3,Colon,Colon - Sigmoid,1159,91,618,BP-43529,RNA Extraction from Paxgene-derived Lysate Plate Based,09/13/2013,LCSET-4764,02/08/2014,TruSeq.v1,RNASEQ,,0.98406196,0,0.971344,,0.98927563,0.8186091,,21708,1,,76,,0.002177995,152,0,63178411,0.028403262,300270,63863304,8626976,,21721,31340807,,,0,0.1527349,0.98927563,0.80983007,63178411,0.005178874,13710607,5541160,13717351,148,13773927,11126494,0.003670527,13952137,50.321377,0.004701761,0.9944894,,0,50.01229
GTEX-111CU-1326-SM-5NQ8L,0,B1,"6 pieces, prominent lymphoid component in 4 of 6 pieces",7.5,Small Intestine,Small Intestine - Terminal Ileum,1211,94,615,BP-43529,RNA Extraction from Paxgene-derived Lysate Plate Based,09/13/2013,LCSET-4906,03/22/2014,TruSeq.v1,RNASEQ,,0.9875575,0,0.97118855,,0.9906552,0.8188572,,22215,1,,76,,0.001919385,168,0,74854919,0.028571803,615525,75561026,5757044,,22234,37214146,,,0,0.1523314,0.9906552,0.8112051,74854919,0.002939686,16348472,5985208,16522774,192,16482037,12336503,0.00242794,16601428,50.180443,0.008146065,0.9937528,,0,50.26513
GTEX-111CU-1426-SM-5GZYP,1,B1,"6 pieces, predominantly mucosa and submucosa with small portion of muscularis, edema",7.8,Colon,Colon - Transverse,1157,100,609,BP-43693,RNA Extraction from Paxgene-derived Lysate Plate Based,09/17/2013,LCSET-4804,03/05/2014,TruSeq.v1,RNASEQ,,0.9867229,0,0.9724016,,0.9906214,0.8118629,,22407,1,,76,,0.002312683,227,0,79847060,0.0268914,633419,80603002,10075884,,22431,39644178,,,0,0.16053876,0.9906214,0.80424875,79847060,0.003289349,17759759,9782700,17665555,230,17743916,13375918,0.002799094,17967563,50.31313,0.007858504,0.99452,,0,49.867046
GTEX-111CU-1526-SM-5N9FS,1,B1,"2 pieces, patchy chronic prostatitis, portion of seminal vesicle",5.7,Prostate,Prostate,2367,103,606,BP-43783,RNA Extraction from Paxgene-derived Lysate Plate Based,09/19/2013,LCSET-4905,03/23/2014,TruSeq.v1,RNASEQ,,0.9833406,0,0.96335995,,0.9856208,0.7839684,,24773,1,,76,,0.004023316,274,0,103693149,0.03643421,351493,105205926,5689322,,24807,51336223,,,0,0.17939156,0.9856208,0.77269554,103693149,0.004182697,22603388,8498080,22656960,321,22630644,14936834,0.004102822,22846698,50.237537,0.003341,0.987901,,0,50.05918
GTEX-111CU-1726-SM-5EGHM,0,B1,"2 pieces, active spermatogenesis",6.9,Testis,Testis,473,108,601,BP-43495,RNA Extraction from Paxgene-derived Lysate Plate Based,09/12/2013,LCSET-4764,02/08/2014,TruSeq.v1,RNASEQ,,0.9810367,0,0.93028533,,0.98711413,0.7487258,,30630,1,,76,,0.002379803,122,0,63433409,0.06937641,718012,64261472,9655028,,30673,31437110,,,0,0.18155952,0.98711413,0.7390778,63433409,0.005546289,13215791,7601680,13197614,129,13334905,10899429,0.003953298,13414591,50.14895,0.011173289,0.9931916,,0,49.965595
GTEX-111CU-1826-SM-5GZYN,0,B1,"2 pieces, small portion of nerve (<10% of one piece)",7.5,Adipose Tissue,Adipose - Subcutaneous,2190,138,571,BP-43783,RNA Extraction from Paxgene-derived Lysate Plate Based,09/19/2013,LCSET-4804,03/05/2014,TruSeq.v1,RNASEQ,,0.9853929,0,0.97443765,,0.9896581,0.81859076,,21824,1,,76,,0.002154182,156,0,68980859,0.025260167,148165,69701704,8516084,,21842,34224095,,,0,0.15584686,0.9896581,0.810125,68980859,0.003394074,15235111,5374515,15297045,161,15375068,13195267,0.002771456,15430056,50.08925,0.002125701,0.99392325,,0,50.10142
GTEX-111CU-1926-SM-5GZYZ,1,B1,"6 pieces, several with 10-30% predominantly attached adipose tissue, squamous epithelium is ~45-50 microns thick",5.9,Skin,Skin - Sun Exposed (Lower leg),4264,141,568,BP-43783,RNA Extraction from Paxgene-derived Lysate Plate Based,09/19/2013,LCSET-4804,03/05/2014,TruSeq.v1,EXCLUDE,,0.9822381,0,0.96613854,,0.9868605,0.76453424,,24448,1,,76,,0.002315612,209,0,92760793,0.03367152,610928,93995850,12198874,,24483,45994996,,,0,0.20160428,0.9868605,0.75448865,92760793,0.003805128,20366124,12437840,20397159,252,20439917,12095143,0.003056882,20725410,50.346764,0.006499521,0.9914829,,0,50.038067
GTEX-111CU-2026-SM-5GZZC,1,B1,"2 pieces, includes ~10% internal fat",8.1,Muscle,Muscle - Skeletal,11907,144,565,BP-43783,RNA Extraction from Paxgene-derived Lysate Plate Based,09/19/2013,LCSET-4804,03/05/2014,TruSeq.v1,RNASEQ,,0.98939514,0,0.9809696,,0.99232537,0.87150913,,19446,1,,76,,0.001926031,223,0,80713027,0.018760864,880549,81337254,9920436,,19454,40126187,,,0,0.10946055,0.99232537,0.8648206,80713027,0.002917603,17501659,11147990,17458977,241,17444619,16209686,0.002420353,17730408,50.406235,0.0108259,0.9952557,,0,49.938953
GTEX-111CU-2226-SM-5N9G5,1,B1,"6 pieces, includes up to 20-30% fat",5.7,Nerve,Nerve - Tibial,1323,148,561,BP-43783,RNA Extraction from Paxgene-derived Lysate Plate Based,09/19/2013,LCSET-4905,03/23/2014,TruSeq.v1,RNASEQ,,0.9858439,0,0.966515,,0.9876238,0.76269823,,23509,1,,76,,0.003962711,178,0,85188536,0.03327646,301767,86256054,4173516,,23538,42237244,,,0,0.20381686,0.9876238,0.75325894,85188536,0.004033131,18772390,6148997,18798680,197,18771618,12645148,0.003997857,18938486,50.22125,0.003498502,0.9894037,,0,50.034985
GTEX-111FC-0001-SM-58Q7U,,B1,,,Blood,Whole Blood,13756,963,,BP-38625,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),05/06/2013,LCSET-4574,01/19/2014,Standard Exome Sequencing v3 (ICE),WES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-111FC-0001-SM-5DWSO,,B1,,,Blood,Whole Blood,13756,963,,BP-38625,DNA isolation_Whole Blood_QIAGEN Puregene (Manual),5/6/2013,GTEx_OM25_Dec_01,01/29/2014,Illumina OMNI SNP Array,OMNI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-111FC-0001-SM-6WBTJ,,B1,,,Blood,Whole Blood,13756,963,,BP-39408,Transfer To Matrix (Manual),05/28/2013,LCSET-6056,8/11/2014,Standard High Coverage Whole Genome Sequencing (30x) v2 (HiSeqX),WGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTEX-111FC-0126-SM-5N9DL,1,B1,"6 pieces, include 5-10% attached and internal adipose tissue, squamous epithelium is 30-42 microns thick",7.2,Skin,Skin - Sun Exposed (Lower leg),4264,1036,870,BP-43989,RNA Extraction from Paxgene-derived Lysate Plate Based,09/26/2013,LCSET-4904,03/22/2014,TruSeq.v1,RNASEQ,,0.9893403,0,0.9707611,,0.9911078,0.82559544,,23205,1,,76,,0.002839958,302,0,96913466,0.028849881,713845,97782970,4417332,,23224,48195576,,,0,0.14516573,0.9911078,0.81825405,96913466,0.003412052,20841850,9984921,20890438,290,20862243,16736738,0.003125495,21015727,50.183258,0.0073003,0.99287534,,0,50.058216
GTEX-111FC-0226-SM-5N9B8,2,B1,"2 pieces, larger piece is 30% fibrovascular tissue and nerve, smaller piece ~10%",7.3,Adipose Tissue,Adipose - Subcutaneous,2190,1040,869,BP-43989,RNA Extraction from Paxgene-derived Lysate Plate Based,09/26/2013,LCSET-4904,03/22/2014,TruSeq.v1,RNASEQ,,0.98944896,0,0.9706717,,0.99113715,0.8079853,,23342,1,,76,,0.002837889,223,0,94274626,0.028982263,357255,95117638,4848292,,23371,46901023,,,0,0.16268636,0.99113715,0.8008242,94274626,0.003419319,20760232,7406614,20811663,252,20811362,17586200,0.003128109,20905656,50.113018,0.003755928,0.9928253,,0,50.06186
GTEX-111FC-0326-SM-5GZZ1,1,B1,"2 pieces, skeletal muscle with only scant adipose tissue, small portion of tendon and fibrovascular tissue",8.2,Muscle,Muscle - Skeletal,11907,1045,862,BP-43529,RNA Extraction from Paxgene-derived Lysate Plate Based,09/13/2013,LCSET-4804,03/05/2014,TruSeq.v1,RNASEQ,,0.98657274,0,0.98094976,,0.99066967,0.8622533,,19641,1,,76,,0.002209767,213,0,78289340,0.018834887,1115821,79026688,11087468,,19649,38871082,,,0,0.118696384,0.99066967,0.85420823,78289340,0.00333316,17198720,12074573,17043311,204,17136223,15961322,0.00276914,17390833,50.36871,0.014119547,0.99476653,,0,49.773075
