Assay_Type_s	AvgSpotLen_l	BioSample_s	Experiment_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	MBases_l	MBytes_l	Organism_s	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	age_s	gender_s	genotype_s	source_name_s	strain_s	tissue_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	Platform_s	SRA_Study_s
Bisulfite-Seq	101	SAMN02204642	SRX306584	SINGLE	RANDOM	GENOMIC	2013-06-16	5247	3715	Homo sapiens	2013-07-03	SRR901863	SRS445515	GSM1164631	16 years (16 yr 63 d)	male		Middle frontal gyrus from 16 year old male human brain (UMB_1158)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02204643	SRX306585	SINGLE	RANDOM	GENOMIC	2013-06-16	9632	6879	Homo sapiens	2013-07-03	SRR901864	SRS445516	GSM1164632	25 years (25 yr 88 d)	male		Middle frontal gyrus from 25 year old male human brain (UMB_1829)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204643	SRX306585	SINGLE	RANDOM	GENOMIC	2013-06-16	9536	7058	Homo sapiens	2013-07-03	SRR901865	SRS445516	GSM1164632	25 years (25 yr 88 d)	male		Middle frontal gyrus from 25 year old male human brain (UMB_1829)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204643	SRX306585	SINGLE	RANDOM	GENOMIC	2013-06-16	9536	7114	Homo sapiens	2013-07-03	SRR901866	SRS445516	GSM1164632	25 years (25 yr 88 d)	male		Middle frontal gyrus from 25 year old male human brain (UMB_1829)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204643	SRX306585	SINGLE	RANDOM	GENOMIC	2013-06-16	880	670	Homo sapiens	2013-07-03	SRR901867	SRS445516	GSM1164632	25 years (25 yr 88 d)	male		Middle frontal gyrus from 25 year old male human brain (UMB_1829)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02204643	SRX306585	SINGLE	RANDOM	GENOMIC	2013-06-16	9632	6824	Homo sapiens	2013-07-03	SRR901868	SRS445516	GSM1164632	25 years (25 yr 88 d)	male		Middle frontal gyrus from 25 year old male human brain (UMB_1829)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02204643	SRX306585	SINGLE	RANDOM	GENOMIC	2013-06-16	7116	5043	Homo sapiens	2013-07-03	SRR901869	SRS445516	GSM1164632	25 years (25 yr 88 d)	male		Middle frontal gyrus from 25 year old male human brain (UMB_1829)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204643	SRX306585	SINGLE	RANDOM	GENOMIC	2013-06-16	9536	6847	Homo sapiens	2013-07-03	SRR901870	SRS445516	GSM1164632	25 years (25 yr 88 d)	male		Middle frontal gyrus from 25 year old male human brain (UMB_1829)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204643	SRX306585	SINGLE	RANDOM	GENOMIC	2013-06-16	9536	6782	Homo sapiens	2013-07-03	SRR901871	SRS445516	GSM1164632	25 years (25 yr 88 d)	male		Middle frontal gyrus from 25 year old male human brain (UMB_1829)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02204643	SRX306585	SINGLE	RANDOM	GENOMIC	2013-06-16	1548	1124	Homo sapiens	2013-07-03	SRR901872	SRS445516	GSM1164632	25 years (25 yr 88 d)	male		Middle frontal gyrus from 25 year old male human brain (UMB_1829)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02204643	SRX306585	SINGLE	RANDOM	GENOMIC	2013-06-16	9632	6812	Homo sapiens	2013-07-03	SRR901873	SRS445516	GSM1164632	25 years (25 yr 88 d)	male		Middle frontal gyrus from 25 year old male human brain (UMB_1829)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02204643	SRX306585	SINGLE	RANDOM	GENOMIC	2013-06-16	9632	6796	Homo sapiens	2013-07-03	SRR901874	SRS445516	GSM1164632	25 years (25 yr 88 d)	male		Middle frontal gyrus from 25 year old male human brain (UMB_1829)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02204643	SRX306585	SINGLE	RANDOM	GENOMIC	2013-06-16	6929	4898	Homo sapiens	2013-07-03	SRR901875	SRS445516	GSM1164632	25 years (25 yr 88 d)	male		Middle frontal gyrus from 25 year old male human brain (UMB_1829)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02206255	SRX308340	SINGLE	RANDOM	GENOMIC	2013-06-17	9632	6817	Homo sapiens	2013-07-03	SRR905317	SRS447253	GSM1166274	5 years (4 yr 258 d)	male		Middle frontal gyrus from 5 year old male human brain (UMB_1185)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02206255	SRX308340	SINGLE	RANDOM	GENOMIC	2013-06-17	9536	6908	Homo sapiens	2013-07-03	SRR905318	SRS447253	GSM1166274	5 years (4 yr 258 d)	male		Middle frontal gyrus from 5 year old male human brain (UMB_1185)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02206255	SRX308340	SINGLE	RANDOM	GENOMIC	2013-06-17	9536	6992	Homo sapiens	2013-07-03	SRR905319	SRS447253	GSM1166274	5 years (4 yr 258 d)	male		Middle frontal gyrus from 5 year old male human brain (UMB_1185)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02206255	SRX308340	SINGLE	RANDOM	GENOMIC	2013-06-17	298	224	Homo sapiens	2013-07-03	SRR905320	SRS447253	GSM1166274	5 years (4 yr 258 d)	male		Middle frontal gyrus from 5 year old male human brain (UMB_1185)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02206255	SRX308340	SINGLE	RANDOM	GENOMIC	2013-06-17	9632	6798	Homo sapiens	2013-07-03	SRR905321	SRS447253	GSM1166274	5 years (4 yr 258 d)	male		Middle frontal gyrus from 5 year old male human brain (UMB_1185)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02206255	SRX308340	SINGLE	RANDOM	GENOMIC	2013-06-17	6268	4412	Homo sapiens	2013-07-03	SRR905322	SRS447253	GSM1166274	5 years (4 yr 258 d)	male		Middle frontal gyrus from 5 year old male human brain (UMB_1185)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02206255	SRX308340	SINGLE	RANDOM	GENOMIC	2013-06-17	9536	6846	Homo sapiens	2013-07-03	SRR905323	SRS447253	GSM1166274	5 years (4 yr 258 d)	male		Middle frontal gyrus from 5 year old male human brain (UMB_1185)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02206255	SRX308340	SINGLE	RANDOM	GENOMIC	2013-06-17	9536	6817	Homo sapiens	2013-07-03	SRR905324	SRS447253	GSM1166274	5 years (4 yr 258 d)	male		Middle frontal gyrus from 5 year old male human brain (UMB_1185)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02206255	SRX308340	SINGLE	RANDOM	GENOMIC	2013-06-17	2447	1762	Homo sapiens	2013-07-03	SRR905325	SRS447253	GSM1166274	5 years (4 yr 258 d)	male		Middle frontal gyrus from 5 year old male human brain (UMB_1185)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02206255	SRX308340	SINGLE	RANDOM	GENOMIC	2013-06-17	9632	6867	Homo sapiens	2013-07-03	SRR905326	SRS447253	GSM1166274	5 years (4 yr 258 d)	male		Middle frontal gyrus from 5 year old male human brain (UMB_1185)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02206255	SRX308340	SINGLE	RANDOM	GENOMIC	2013-06-17	9632	6931	Homo sapiens	2013-07-03	SRR905327	SRS447253	GSM1166274	5 years (4 yr 258 d)	male		Middle frontal gyrus from 5 year old male human brain (UMB_1185)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02206255	SRX308340	SINGLE	RANDOM	GENOMIC	2013-06-17	6062	4372	Homo sapiens	2013-07-03	SRR905328	SRS447253	GSM1166274	5 years (4 yr 258 d)	male		Middle frontal gyrus from 5 year old male human brain (UMB_1185)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02206500	SRX309596	SINGLE	RANDOM	GENOMIC	2013-06-18	9632	6818	Homo sapiens	2013-07-03	SRR907554	SRS448180	GSM1167004	35 days	male		Middle frontal gyrus from 35 day old male human brain (UMB_759)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02206500	SRX309596	SINGLE	RANDOM	GENOMIC	2013-06-18	9632	6868	Homo sapiens	2013-07-03	SRR907555	SRS448180	GSM1167004	35 days	male		Middle frontal gyrus from 35 day old male human brain (UMB_759)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02206500	SRX309596	SINGLE	RANDOM	GENOMIC	2013-06-18	9632	6872	Homo sapiens	2013-07-03	SRR907556	SRS448180	GSM1167004	35 days	male		Middle frontal gyrus from 35 day old male human brain (UMB_759)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02206500	SRX309596	SINGLE	RANDOM	GENOMIC	2013-06-18	6175	4378	Homo sapiens	2013-07-03	SRR907557	SRS448180	GSM1167004	35 days	male		Middle frontal gyrus from 35 day old male human brain (UMB_759)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02206500	SRX309596	SINGLE	RANDOM	GENOMIC	2013-06-18	9632	6797	Homo sapiens	2013-07-03	SRR907558	SRS448180	GSM1167004	35 days	male		Middle frontal gyrus from 35 day old male human brain (UMB_759)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02206500	SRX309596	SINGLE	RANDOM	GENOMIC	2013-06-18	5703	4021	Homo sapiens	2013-07-03	SRR907559	SRS448180	GSM1167004	35 days	male		Middle frontal gyrus from 35 day old male human brain (UMB_759)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02206500	SRX309596	SINGLE	RANDOM	GENOMIC	2013-06-18	9536	6844	Homo sapiens	2013-07-03	SRR907560	SRS448180	GSM1167004	35 days	male		Middle frontal gyrus from 35 day old male human brain (UMB_759)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02206500	SRX309596	SINGLE	RANDOM	GENOMIC	2013-06-18	9536	6820	Homo sapiens	2013-07-03	SRR907561	SRS448180	GSM1167004	35 days	male		Middle frontal gyrus from 35 day old male human brain (UMB_759)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02206500	SRX309596	SINGLE	RANDOM	GENOMIC	2013-06-18	2269	1636	Homo sapiens	2013-07-03	SRR907562	SRS448180	GSM1167004	35 days	male		Middle frontal gyrus from 35 day old male human brain (UMB_759)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02206500	SRX309596	SINGLE	RANDOM	GENOMIC	2013-06-18	9536	6934	Homo sapiens	2013-07-03	SRR907563	SRS448180	GSM1167004	35 days	male		Middle frontal gyrus from 35 day old male human brain (UMB_759)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02206500	SRX309596	SINGLE	RANDOM	GENOMIC	2013-06-18	9536	6898	Homo sapiens	2013-07-03	SRR907564	SRS448180	GSM1167004	35 days	male		Middle frontal gyrus from 35 day old male human brain (UMB_759)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	100	SAMN02206500	SRX309596	SINGLE	RANDOM	GENOMIC	2013-06-18	2430	1766	Homo sapiens	2013-07-03	SRR907565	SRS448180	GSM1167004	35 days	male		Middle frontal gyrus from 35 day old male human brain (UMB_759)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
Bisulfite-Seq	101	SAMN02206499	SRX309597	SINGLE	RANDOM	GENOMIC	2013-06-18	9632	6786	Homo sapiens	2013-07-03	SRR907566	SRS448182	GSM1167005	2 years (1 yr 262 d)	male		Middle frontal gyrus from 2 year old male human brain (UMB_5180)		brain (middle frontal gyrus)	PRJNA208503	GEO	public	0	Illumina HiSeq 2000	ILLUMINA	SRP026048
