BioSample_s	Experiment_s	LoadDate_s	MBases_l	MBytes_l	ReleaseDate_s	Run_s	SRA_Sample_s	Sample_Name_s	source_name_s	tissue_type_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	Organism_s	Platform_s	SRA_Study_s
SAMN02928518	SRX658008	2015-12-02	2074	1483	2015-07-22	SRR1521381	SRS663167	GSM1440441	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928459	SRX658009	2015-12-02	2362	1680	2015-07-22	SRR1521382	SRS663168	GSM1440442	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928460	SRX658010	2015-12-02	1705	1210	2015-07-22	SRR1521383	SRS663169	GSM1440443	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928461	SRX658011	2015-12-02	2073	1483	2015-07-22	SRR1521384	SRS663170	GSM1440444	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928462	SRX658012	2014-07-21	2714	1884	2014-07-31	SRR1521385	SRS663171	GSM1440445	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928463	SRX658013	2014-07-21	3286	2288	2014-07-31	SRR1521386	SRS663173	GSM1440446	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928464	SRX658014	2014-07-21	3133	2180	2014-07-31	SRR1521387	SRS663172	GSM1440447	glioma tissue - non-enhancing FLAIR+ sample	glioma - non-enhancing FLAIR+ sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928465	SRX658015	2015-12-02	2555	1825	2015-07-22	SRR1521388	SRS663174	GSM1440448	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928466	SRX658016	2015-12-02	2587	1773	2015-07-22	SRR1521389	SRS663175	GSM1440449	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928467	SRX658017	2015-12-02	2483	1777	2015-07-22	SRR1521390	SRS663176	GSM1440450	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928468	SRX658018	2015-12-02	2007	1443	2015-07-22	SRR1521391	SRS663177	GSM1440451	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928469	SRX658019	2015-12-02	2285	1639	2015-07-22	SRR1521392	SRS663178	GSM1440452	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928470	SRX658020	2015-12-02	2019	1433	2015-07-22	SRR1521393	SRS663179	GSM1440453	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928471	SRX658021	2015-12-02	2303	1651	2015-07-22	SRR1521394	SRS663180	GSM1440454	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928472	SRX658022	2015-12-02	2518	1802	2015-07-22	SRR1521395	SRS663181	GSM1440455	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928473	SRX658023	2015-12-02	2179	1545	2015-07-22	SRR1521396	SRS663182	GSM1440456	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928474	SRX658024	2015-12-02	2198	1574	2015-07-22	SRR1521397	SRS663183	GSM1440457	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928475	SRX658025	2015-12-02	2572	1822	2015-07-22	SRR1521398	SRS663184	GSM1440458	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928476	SRX658026	2015-12-02	2259	1622	2015-07-22	SRR1521399	SRS663185	GSM1440459	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928477	SRX658027	2015-12-02	1847	1298	2015-07-22	SRR1521400	SRS663186	GSM1440460	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928478	SRX658028	2015-12-02	1883	1347	2015-07-22	SRR1521401	SRS663187	GSM1440461	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928479	SRX658029	2015-12-02	2310	1660	2015-07-22	SRR1521402	SRS663189	GSM1440462	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928480	SRX658030	2015-12-02	1844	1324	2015-07-22	SRR1521403	SRS663188	GSM1440463	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928481	SRX658031	2015-12-02	1874	1328	2015-07-22	SRR1521404	SRS663192	GSM1440464	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928482	SRX658032	2015-12-02	2822	2013	2015-07-22	SRR1521405	SRS663190	GSM1440465	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928483	SRX658033	2015-12-02	1576	1108	2015-07-22	SRR1521406	SRS663191	GSM1440466	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928484	SRX658034	2015-12-02	3457	2315	2015-07-22	SRR1521407	SRS663194	GSM1440467	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928485	SRX658035	2015-12-02	2188	1499	2015-07-22	SRR1521408	SRS663193	GSM1440468	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928486	SRX658036	2015-12-02	2135	1524	2015-07-22	SRR1521409	SRS663195	GSM1440469	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928487	SRX658037	2015-12-02	1692	1208	2015-07-22	SRR1521410	SRS663196	GSM1440470	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928488	SRX658038	2014-07-21	3010	2127	2014-07-31	SRR1521411	SRS663197	GSM1440471	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928519	SRX658039	2014-07-21	3616	2549	2014-07-31	SRR1521412	SRS663198	GSM1440472	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928520	SRX658040	2014-07-21	3115	2193	2014-07-31	SRR1521413	SRS663200	GSM1440473	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928521	SRX658041	2014-07-21	2813	1982	2014-07-31	SRR1521414	SRS663199	GSM1440474	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928522	SRX658042	2014-07-21	2707	1912	2014-07-31	SRR1521415	SRS663201	GSM1440475	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928523	SRX658043	2014-07-21	2704	1850	2014-07-31	SRR1521416	SRS663202	GSM1440476	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928524	SRX658044	2014-07-21	3551	2410	2014-07-31	SRR1521417	SRS663203	GSM1440477	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928525	SRX658045	2014-07-21	2550	1720	2014-07-31	SRR1521418	SRS663204	GSM1440478	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928526	SRX658046	2014-07-21	2996	2073	2014-07-31	SRR1521419	SRS663205	GSM1440479	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928527	SRX658047	2014-07-21	3008	2098	2014-07-31	SRR1521420	SRS663206	GSM1440480	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928528	SRX658048	2014-07-21	3035	2110	2014-07-31	SRR1521421	SRS663207	GSM1440481	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928529	SRX658049	2014-07-21	4075	2742	2014-07-31	SRR1521422	SRS663208	GSM1440482	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928530	SRX658050	2014-07-21	3607	2423	2014-07-31	SRR1521423	SRS663210	GSM1440483	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928531	SRX658051	2014-07-21	3044	2107	2014-07-31	SRR1521424	SRS663209	GSM1440484	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928532	SRX658052	2014-07-21	3560	2469	2014-07-31	SRR1521425	SRS663213	GSM1440485	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928533	SRX658053	2014-07-21	3371	2366	2014-07-31	SRR1521426	SRS663211	GSM1440486	glioma tissue - contrast-enhancing sample	glioma - contrast-enhancing sample	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
SAMN02928534	SRX658054	2014-07-21	3662	2545	2014-07-31	SRR1521427	SRS663212	GSM1440487	non-neoplastic brain tissue	non-neoplastic brain	RNA-Seq	101	PRJNA255754	GEO	public	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	Homo sapiens	ILLUMINA	SRP044668
