AvgSpotLen_l	BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	history_s	Assay_Type_s	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	source_name_s
202	SAMN02251262	SRX322623	3994	2809	SRR934738	SRS457701	GSM1185885	recurrent anaplastic oligodendrogliomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251219	SRX322624	3830	2453	SRR934739	SRS457703	GSM1185886	recurrent Glioblastomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251253	SRX322625	5208	3345	SRR934740	SRS457702	GSM1185887	oligodendrogliomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
200	SAMN02251257	SRX322626	5535	4235	SRR934741	SRS457704	GSM1185888	anaplastic oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251215	SRX322627	5340	3387	SRR934742	SRS457705	GSM1185889	oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251282	SRX322628	4405	3149	SRR934743	SRS457706	GSM1185890	anaplastic oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251194	SRX322629	3985	2573	SRR934744	SRS457707	GSM1185891	secondary Glioblastomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
200	SAMN02251214	SRX322630	3599	2715	SRR934745	SRS457708	GSM1185892	recurrent anaplastic astrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251280	SRX322631	4703	3111	SRR934746	SRS457709	GSM1185893	primary Glioblastomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251190	SRX322632	3791	2496	SRR934747	SRS457710	GSM1185894	anaplastic astrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
200	SAMN02251203	SRX322633	2969	2090	SRR934748	SRS457711	GSM1185895	recurrent anaplastic oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251208	SRX322634	3468	2355	SRR934749	SRS457713	GSM1185896	oligodendrogliomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251201	SRX322635	4995	3570	SRR934750	SRS457712	GSM1185897	anaplastic oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251217	SRX322636	9200	6466	SRR934751	SRS457714	GSM1185898	recurrent oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251204	SRX322637	3837	2470	SRR934752	SRS457715	GSM1185899	oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
200	SAMN02251198	SRX322638	4843	3418	SRR934753	SRS457716	GSM1185900	primary Glioblastomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251218	SRX322639	3294	2231	SRR934754	SRS457717	GSM1185901	oligodendrogliomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
200	SAMN02251213	SRX322640	4452	3362	SRR934755	SRS457718	GSM1185902	anaplastic oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251278	SRX322641	4904	3300	SRR934756	SRS457719	GSM1185903	anaplastic oligodendrogliomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251221	SRX322642	4977	3556	SRR934757	SRS457720	GSM1185904	primary Glioblastomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251211	SRX322643	4213	3007	SRR934758	SRS457721	GSM1185905	astrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251277	SRX322644	3802	2644	SRR934759	SRS457722	GSM1185906	primary Glioblastomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251295	SRX322645	3512	2299	SRR934760	SRS457723	GSM1185907	primary Glioblastomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251279	SRX322646	5767	3643	SRR934761	SRS457724	GSM1185908	primary Glioblastomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251210	SRX322647	4642	3085	SRR934762	SRS457725	GSM1185909	oligodendrogliomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
200	SAMN02251291	SRX322648	4084	2992	SRR934763	SRS457726	GSM1185910	astrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251276	SRX322649	3772	2630	SRR934764	SRS457727	GSM1185911	anaplastic oligodendrogliomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251209	SRX322650	5763	4015	SRR934765	SRS457728	GSM1185912	secondary Glioblastomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251283	SRX322651	5417	3423	SRR934766	SRS457729	GSM1185913	oligodendrogliomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251224	SRX322652	4500	2883	SRR934767	SRS457730	GSM1185914	oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
200	SAMN02251269	SRX322653	4082	3077	SRR934768	SRS457731	GSM1185915	oligodendrogliomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251284	SRX322654	5351	3401	SRR934769	SRS457732	GSM1185916	recurrent Glioblastomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251222	SRX322655	4759	3143	SRR934770	SRS457733	GSM1185917	oligodendrogliomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251264	SRX322656	5433	3494	SRR934771	SRS457735	GSM1185918	anaplastic oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251095	SRX322657	4761	3053	SRR934772	SRS457734	GSM1185919	anaplastic astrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251097	SRX322658	4565	2928	SRR934773	SRS457736	GSM1185920	anaplastic oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
200	SAMN02251096	SRX322659	2873	2020	SRR934774	SRS457737	GSM1185921	anaplastic oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251100	SRX322660	3462	2154	SRR934775	SRS457738	GSM1185922	oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251103	SRX322661	4619	2958	SRR934776	SRS457739	GSM1185923	anaplastic oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251098	SRX322662	4460	3007	SRR934777	SRS457740	GSM1185924	anaplastic oligodendrogliomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251099	SRX322663	5952	3903	SRR934778	SRS457741	GSM1185925	anaplastic oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251101	SRX322664	3976	2527	SRR934779	SRS457742	GSM1185926	astrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251102	SRX322665	3879	2488	SRR934780	SRS457743	GSM1185927	recurrent anaplastic astrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251109	SRX322666	4801	3065	SRR934781	SRS457744	GSM1185928	primary Glioblastomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251107	SRX322667	7224	5120	SRR934782	SRS457745	GSM1185929	recurrent anaplastic oligodendrogliomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251111	SRX322668	4367	2823	SRR934783	SRS457746	GSM1185930	astrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251108	SRX322669	6274	4519	SRR934784	SRS457747	GSM1185931	anaplastic astrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251106	SRX322670	5801	4192	SRR934785	SRS457748	GSM1185932	recurrent Glioblastomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251104	SRX322671	3693	2635	SRR934786	SRS457749	GSM1185933	oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251105	SRX322672	5629	3749	SRR934787	SRS457750	GSM1185934	oligodendrogliomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251110	SRX322673	3571	2238	SRR934788	SRS457751	GSM1185935	oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251113	SRX322674	3314	2311	SRR934789	SRS457752	GSM1185936	astrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251114	SRX322675	6151	3928	SRR934790	SRS457753	GSM1185937	anaplastic oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251112	SRX322676	4425	2866	SRR934791	SRS457754	GSM1185938	oligodendrogliomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251119	SRX322677	3773	2751	SRR934792	SRS457755	GSM1185939	primary Glioblastomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251117	SRX322678	6287	4141	SRR934793	SRS457756	GSM1185940	oligodendrogliomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251115	SRX322679	5239	3442	SRR934794	SRS457757	GSM1185941	anaplastic astrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251118	SRX322680	3599	2240	SRR934795	SRS457758	GSM1185942	oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251116	SRX322681	3249	2269	SRR934796	SRS457759	GSM1185943	oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
200	SAMN02251120	SRX322682	8999	5945	SRR934797	SRS457760	GSM1185944	recurrent Glioblastomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251123	SRX322683	4004	2504	SRR934798	SRS457761	GSM1185945	oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251121	SRX322684	3123	2191	SRR934799	SRS457762	GSM1185946	oligodendroastrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251122	SRX322685	5077	3722	SRR934800	SRS457763	GSM1185947	primary Glioblastomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251124	SRX322686	5047	3707	SRR934801	SRS457764	GSM1185948	recurrent anaplastic astrocytomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
202	SAMN02251161	SRX322687	6468	4627	SRR934802	SRS457765	GSM1185949	primary Glioblastomas	RNA-Seq	PRJNA212047	GEO	public	0	Illumina HiSeq 2000	PAIRED	cDNA	TRANSCRIPTOMIC	2013-07-15	Homo sapiens	ILLUMINA	2014-07-21	SRP027383	Tumor cells
