BioSample_s	Experiment_s	MBases_l	MBytes_l	Run_s	SRA_Sample_s	Sample_Name_s	Assay_Type_s	AvgSpotLen_l	BioProject_s	Center_Name_s	Consent_s	InsertSize_l	Instrument_s	LibraryLayout_s	LibrarySelection_s	LibrarySource_s	LoadDate_s	Organism_s	Platform_s	ReleaseDate_s	SRA_Study_s	cell_type_s	source_name_s
SAMN04359427	SRX1494385	540	241	SRR3038264	SRS1217208	GSM1977038	RNA-Seq	50	PRJNA306659	GEO	public	0	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	2015-12-21	Homo sapiens	ILLUMINA	2016-02-01	SRP067645	Laser Capture microdissected MNs from post-mortem spinal cord	Human Lumbar spinal cord motor neurons
SAMN04359428	SRX1494386	948	471	SRR3038265	SRS1217207	GSM1977039	RNA-Seq	50	PRJNA306659	GEO	public	0	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	2015-12-21	Homo sapiens	ILLUMINA	2016-02-01	SRP067645	Laser Capture microdissected MNs from post-mortem spinal cord	Human Lumbar spinal cord motor neurons
SAMN04359429	SRX1494387	1657	987	SRR3038266	SRS1217206	GSM1977040	RNA-Seq	50	PRJNA306659	GEO	public	0	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	2015-12-21	Homo sapiens	ILLUMINA	2016-02-01	SRP067645	Laser Capture microdissected MNs from post-mortem spinal cord	Human Lumbar spinal cord motor neurons
SAMN04359430	SRX1494388	1572	930	SRR3038267	SRS1217205	GSM1977041	RNA-Seq	50	PRJNA306659	GEO	public	0	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	2015-12-21	Homo sapiens	ILLUMINA	2016-02-01	SRP067645	Laser Capture microdissected MNs from post-mortem spinal cord	Human Lumbar spinal cord motor neurons
SAMN04359431	SRX1494389	1721	1043	SRR3038268	SRS1217204	GSM1977042	RNA-Seq	50	PRJNA306659	GEO	public	0	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	2015-12-21	Homo sapiens	ILLUMINA	2016-02-01	SRP067645	Laser Capture microdissected MNs from post-mortem spinal cord	Human Lumbar spinal cord motor neurons
SAMN04359432	SRX1494390	1648	981	SRR3038269	SRS1217203	GSM1977043	RNA-Seq	50	PRJNA306659	GEO	public	0	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	2015-12-21	Homo sapiens	ILLUMINA	2016-02-01	SRP067645	Laser Capture microdissected MNs from post-mortem spinal cord	Human Lumbar spinal cord motor neurons
SAMN04359433	SRX1494391	1473	884	SRR3038270	SRS1217202	GSM1977044	RNA-Seq	50	PRJNA306659	GEO	public	0	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	2015-12-21	Homo sapiens	ILLUMINA	2016-02-01	SRP067645	Laser Capture microdissected MNs from post-mortem spinal cord	Human Lumbar spinal cord motor neurons
SAMN04359434	SRX1494392	1251	722	SRR3038271	SRS1217201	GSM1977045	RNA-Seq	50	PRJNA306659	GEO	public	0	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	2015-12-21	Homo sapiens	ILLUMINA	2016-02-01	SRP067645	Laser Capture microdissected MNs from post-mortem spinal cord	Human Lumbar spinal cord motor neurons
SAMN04359435	SRX1494393	554	299	SRR3038272	SRS1217200	GSM1977046	RNA-Seq	50	PRJNA306659	GEO	public	0	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	2015-12-21	Homo sapiens	ILLUMINA	2016-02-01	SRP067645	Laser Capture microdissected MNs from post-mortem spinal cord	Human Lumbar spinal cord motor neurons
SAMN04359436	SRX1494394	1559	946	SRR3038273	SRS1217199	GSM1977047	RNA-Seq	50	PRJNA306659	GEO	public	0	Illumina Genome Analyzer II	SINGLE	cDNA	TRANSCRIPTOMIC	2015-12-21	Homo sapiens	ILLUMINA	2016-02-01	SRP067645	Laser Capture microdissected MNs from post-mortem spinal cord	Human Lumbar spinal cord motor neurons
