Assay_Type_s,Organism_s,Brain Bank,Sex,Age,Age Units,Development,Race,Sample Origin,source_name_s,Cell Line,Tissue Site 1,Tissue Site 2,Tissue Site 3,Brodmann Area,Hemisphere,Disease Status,tissue_type_s,Disease,Tumor Type,Clinical Stage 1,Clinical Stage 2,Pathology,Viability,Preparation,PMI,PMI Units,RIN,Sequencing Kit,,BioSample_s,Experiment_s,LoadDate_s,MBases_l,MBytes_l,ReleaseDate_s,Run_s,SRA_Sample_s,Sample_Name_s,AvgSpotLen_l,BioProject_s,Center_Name_s,Consent_s,InsertSize_l,Instrument_s,LibraryLayout_s,LibrarySelection_s,LibrarySource_s,Platform_s,SRA_Study_s
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928502,SRX657992,2015-12-02,1967,1419,2015-07-22,SRR1521365,SRS663151,GSM1440425,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928503,SRX657993,2015-12-02,1933,1375,2015-07-22,SRR1521366,SRS663152,GSM1440426,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928504,SRX657994,2015-12-02,2083,1492,2015-07-22,SRR1521367,SRS663153,GSM1440427,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928505,SRX657995,2015-12-02,2397,1727,2015-07-22,SRR1521368,SRS663154,GSM1440428,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928506,SRX657996,2015-12-02,1995,1416,2015-07-22,SRR1521369,SRS663155,GSM1440429,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928507,SRX657997,2015-12-02,2309,1655,2015-07-22,SRR1521370,SRS663156,GSM1440430,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928508,SRX657998,2015-12-02,2592,1840,2015-07-22,SRR1521371,SRS663157,GSM1440431,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928509,SRX657999,2015-12-02,2117,1528,2015-07-22,SRR1521372,SRS663158,GSM1440432,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928510,SRX658000,2015-12-02,2270,1614,2015-07-22,SRR1521373,SRS663159,GSM1440433,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928511,SRX658001,2015-12-02,2325,1647,2015-07-22,SRR1521374,SRS663160,GSM1440434,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928512,SRX658002,2015-12-02,2002,1434,2015-07-22,SRR1521375,SRS663161,GSM1440435,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928513,SRX658003,2015-12-02,1604,1131,2015-07-22,SRR1521376,SRS663162,GSM1440436,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928514,SRX658004,2015-12-02,1868,1314,2015-07-22,SRR1521377,SRS663163,GSM1440437,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928515,SRX658005,2015-12-02,2337,1670,2015-07-22,SRR1521378,SRS663164,GSM1440438,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928516,SRX658006,2015-12-02,2907,1992,2015-07-22,SRR1521379,SRS663165,GSM1440439,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928517,SRX658007,2015-12-02,2168,1497,2015-07-22,SRR1521380,SRS663166,GSM1440440,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928518,SRX658008,2015-12-02,2074,1483,2015-07-22,SRR1521381,SRS663167,GSM1440441,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928459,SRX658009,2015-12-02,2362,1680,2015-07-22,SRR1521382,SRS663168,GSM1440442,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928460,SRX658010,2015-12-02,1705,1210,2015-07-22,SRR1521383,SRS663169,GSM1440443,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928461,SRX658011,2015-12-02,2073,1483,2015-07-22,SRR1521384,SRS663170,GSM1440444,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928462,SRX658012,2014-07-21,2714,1884,2014-07-31,SRR1521385,SRS663171,GSM1440445,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928463,SRX658013,2014-07-21,3286,2288,2014-07-31,SRR1521386,SRS663173,GSM1440446,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - non-enhancing FLAIR+ sample,,,,,,,Disease,glioma - non-enhancing FLAIR+ sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928464,SRX658014,2014-07-21,3133,2180,2014-07-31,SRR1521387,SRS663172,GSM1440447,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928465,SRX658015,2015-12-02,2555,1825,2015-07-22,SRR1521388,SRS663174,GSM1440448,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928466,SRX658016,2015-12-02,2587,1773,2015-07-22,SRR1521389,SRS663175,GSM1440449,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928467,SRX658017,2015-12-02,2483,1777,2015-07-22,SRR1521390,SRS663176,GSM1440450,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928468,SRX658018,2015-12-02,2007,1443,2015-07-22,SRR1521391,SRS663177,GSM1440451,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928469,SRX658019,2015-12-02,2285,1639,2015-07-22,SRR1521392,SRS663178,GSM1440452,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928470,SRX658020,2015-12-02,2019,1433,2015-07-22,SRR1521393,SRS663179,GSM1440453,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928471,SRX658021,2015-12-02,2303,1651,2015-07-22,SRR1521394,SRS663180,GSM1440454,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928472,SRX658022,2015-12-02,2518,1802,2015-07-22,SRR1521395,SRS663181,GSM1440455,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928473,SRX658023,2015-12-02,2179,1545,2015-07-22,SRR1521396,SRS663182,GSM1440456,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928474,SRX658024,2015-12-02,2198,1574,2015-07-22,SRR1521397,SRS663183,GSM1440457,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928475,SRX658025,2015-12-02,2572,1822,2015-07-22,SRR1521398,SRS663184,GSM1440458,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928476,SRX658026,2015-12-02,2259,1622,2015-07-22,SRR1521399,SRS663185,GSM1440459,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928477,SRX658027,2015-12-02,1847,1298,2015-07-22,SRR1521400,SRS663186,GSM1440460,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928478,SRX658028,2015-12-02,1883,1347,2015-07-22,SRR1521401,SRS663187,GSM1440461,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928479,SRX658029,2015-12-02,2310,1660,2015-07-22,SRR1521402,SRS663189,GSM1440462,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928480,SRX658030,2015-12-02,1844,1324,2015-07-22,SRR1521403,SRS663188,GSM1440463,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928481,SRX658031,2015-12-02,1874,1328,2015-07-22,SRR1521404,SRS663192,GSM1440464,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928482,SRX658032,2015-12-02,2822,2013,2015-07-22,SRR1521405,SRS663190,GSM1440465,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928483,SRX658033,2015-12-02,1576,1108,2015-07-22,SRR1521406,SRS663191,GSM1440466,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928484,SRX658034,2015-12-02,3457,2315,2015-07-22,SRR1521407,SRS663194,GSM1440467,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928485,SRX658035,2015-12-02,2188,1499,2015-07-22,SRR1521408,SRS663193,GSM1440468,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
RNA-Seq,Homo sapiens,,,,,,,Brain,glioma tissue - contrast-enhancing sample,,,,,,,Disease,glioma - contrast-enhancing sample,Tumor,Glioblastoma,Grade IV,,,,,,,,,,SAMN02928486,SRX658036,2015-12-02,2135,1524,2015-07-22,SRR1521409,SRS663195,GSM1440469,101,PRJNA255754,GEO,public,0,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,ILLUMINA,SRP044668
